Date,Time,Temp (°C) c:1,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
14-06-22,6:20:00,24.267,,,,,
14-06-22,6:30:00,24.243,,,,,
14-06-22,6:40:00,24.219,,,,,
14-06-22,6:50:00,24.195,,,,,
14-06-22,7:00:00,24.146,,,,,
14-06-22,7:10:00,24.146,,,,,
14-06-22,7:20:00,24.122,,,,,
14-06-22,7:30:00,24.122,,,,,
14-06-22,7:40:00,24.098,,,,,
14-06-22,7:50:00,24.098,,,,,
14-06-22,8:00:00,24.122,,,,,
14-06-22,8:10:00,24.146,,,,,
14-06-22,8:20:00,24.171,,,,,
14-06-22,8:30:00,24.146,,,,,
14-06-22,8:40:00,24.146,,,,,
14-06-22,8:50:00,24.146,,,,,
14-06-22,9:00:00,24.146,,,,,
14-06-22,9:10:00,24.171,,,,,
14-06-22,9:20:00,24.195,,,,,
14-06-22,9:30:00,24.195,,,,,
14-06-22,9:40:00,24.219,,,,,
14-06-22,9:50:00,24.219,,,,,
14-06-22,10:00:00,24.243,,,,,
14-06-22,10:10:00,24.315,,,,,
14-06-22,10:20:00,24.412,,,,,
14-06-22,10:30:00,24.412,,,,,
14-06-22,10:40:00,24.46,,,,,
14-06-22,10:50:00,24.557,,,,,
14-06-22,11:00:00,24.605,,,,,
14-06-22,11:10:00,24.75,,,,,
14-06-22,11:20:00,24.871,,,,,
14-06-22,11:30:00,24.968,,,,,
14-06-22,11:40:00,25.089,,,,,
14-06-22,11:50:00,25.283,,,,,
14-06-22,12:00:00,25.38,,,,,
14-06-22,12:10:00,25.428,,,,,
14-06-22,12:20:00,25.55,,,,,
14-06-22,12:30:00,25.744,,,,,
14-06-22,12:40:00,26.012,,,,,
14-06-22,12:50:00,26.085,,,,,
14-06-22,13:00:00,26.158,,,,,
14-06-22,13:10:00,26.28,,,,,
14-06-22,13:20:00,26.402,,,,,
14-06-22,13:30:00,26.549,,,,,
14-06-22,13:40:00,26.622,,,,,
14-06-22,13:50:00,26.842,,,,,
14-06-22,14:00:00,27.112,,,,,
14-06-22,14:10:00,27.259,,,,,
14-06-22,14:20:00,27.481,,,,,
14-06-22,14:30:00,27.702,,,,,
14-06-22,14:40:00,27.875,,,,,
14-06-22,14:50:00,27.998,,,,,
14-06-22,15:00:00,28.048,,,,,
14-06-22,15:10:00,27.974,,,,,
14-06-22,15:20:00,27.998,,,,,
14-06-22,15:30:00,28.072,,,,,
14-06-22,15:40:00,28.097,,,,,
14-06-22,15:50:00,28.122,,,,,
14-06-22,16:00:00,28.048,,,,,
14-06-22,16:10:00,28.122,,,,,
14-06-22,16:20:00,28.122,,,,,
14-06-22,16:30:00,28.072,,,,,
14-06-22,16:40:00,27.949,,,,,
14-06-22,16:50:00,27.924,,,,,
14-06-22,17:00:00,27.899,,,,,
14-06-22,17:10:00,27.801,,,,,
